n,porcentaje,f_t,d
101,95.862,3,2
106,68.756,3,2
110,103.851,3,2
115,115.741,3,2
120,60.2773,3,2
125,56.9611,3,2
129,103.691,3,2
134,64.8144,3,2
139,61.4201,3,2
143,72.8839,3,2
148,80.2894,3,2
153,76.3333,3,2
157,62.7064,3,2
162,115.16,3,2
167,104.792,3,2
172,65.3387,3,2
176,113.634,3,2
181,60.0794,3,2
186,60.1649,3,2
190,95.6432,3,2
195,96.2841,3,2
200,88.4651,3,2
204,151.773,3,2
209,69.1698,3,2
214,81.5122,3,2
219,55.0802,3,2
223,70.445,3,2
228,145.573,3,2
233,147.613,3,2
237,57.4507,3,2
242,72.2027,3,2
247,88.1295,3,2
251,42.9952,3,2
266,78.2837,3,2
270,122.915,3,2
275,68.2018,3,2
289,75.1439,3,2
298,121.917,3,2
317,56.3424,3,2
331,74.0416,3,2
376,71.4846,3,2
420,71.9201,3,2
439,125.197,3,2
524,84.3492,3,2
655,42.6665,3,2
