n,porcentaje,ejeInicial
101,29.4468,0
106,18.0241,0
110,20.9151,0
115,29.4331,0
120,17.5914,0
125,28.5993,0
129,31.4694,0
134,40.2675,0
139,24.895,0
143,27.1324,0
148,30.8881,0
153,35.9047,0
157,16.9911,0
162,22.1208,0
167,22.7047,0
172,32.398,0
176,46.4538,0
181,17.4415,0
186,23.4592,0
190,18.9607,0
195,34.9026,0
200,18.7082,0
204,23.4705,0
209,22.4854,0
214,30.7551,0
219,23.9459,0
223,20.8414,0
228,31.1115,0
233,23.2471,0
237,27.707,0
242,37.1858,0
247,44.7952,0
251,22.6534,0
266,43.8834,0
270,19.3661,0
275,20.2661,0
289,47.2438,0
298,26.7153,0
317,22.7663,0
331,19.8903,0
376,29.3567,0
420,30.196,0
439,19.7933,0
524,37.4025,0
655,17.3538,0
